title,address,description,price,date
2 bedroom apartment,"Russell square, Brighton",SPACIOUS TWO DOUBLE BEDROOM FLAT** TWELFTH FLOOR ** EN-SUITE/WALK IN WARDROBE ** AVAILABLE NOVEMBER 22,"£1,700 pcm",Reduced on 19/10/2022
1 bedroom ground floor flat,"Clifton Road, Brighton, BN1","** 3D VIRTUAL TOUR AVAILABLE ** ** SPACIOUS // MODERN // CENTRAL ** A very spacious, stylish one bedroom apartment in this sought after area of Seven Dials. Close walking distance to Brighton Station, Brighton's famous seafront and the City Centre. Light and airy open plan kitchen/living room w...","£1,350 pcm",Added today
1 bedroom house share,"Bennett Road, Brighton, BN2","*SPACIOUS DOUBLE BEDROOM // EN-SUITE // BILLS INCLUDED*
A very well presented Double Bedroom with En-Suite in a spacious 5 bed house. The property is ideally located in Bennett Road, close to Sussex Square, the Royal Sussex County Hospital & Brighton Seafront. The private bedroom is a good si...",£750 pcm,Added today
Studio flat,"Flat 3, 7 Wellington Road, BN2 3AB","A studio apartment with modern fitted kitchen, bathroom with bath. Well located for students on the Lewes Road, with its range of shops and cafe's and direct bus links to the Universities. The apartment is offered unfurnished.",£900 pcm,Added yesterday
1 bedroom flat,"Guildford Road, Brighton, BN1","A WELL PRESENTED lower ground floor flat situated in a CONVERTED PERIOD BUILDING locatednear to BRIGHTON STATION. The accommodation comprises SOUTH ASPECT LOUNGE, SEPARATE KITCHENWITH APPLIANCES, SHOWER ROOM, GCH, OWN STREET ENTRANCE - EPC - ORDERED.",£975 pcm,Added yesterday
3 bedroom flat,"163 Bear Road, Brighton, BN2 4DB","Property number 39120.
3 Bedroom first floor Garden Flat in Bear Rd, Brighton, Recently refurbished and decorated in good condition. Available immediately. Ideal for students or a family home.","£1,646 pcm",Added on 23/10/2022
1 bedroom end of terrace house,"Bristol Rise, Bowring Way, Brighton, East Sussex, BN2","VIRTUAL TOUR | INDIVIDUAL ROOMS TO RENT IN SHARED STUDENT HOUSE | ALL BILLS INCLUDED IN RENT Sitting just minutes from Brighton Seafront within Kemp Town Village, with excellent transport links to all universities and the hospitals, this six bedroom shared house is ideal for students.",£695 pcm,Added on 21/10/2022
2 bedroom maisonette,"Norfolk Square, BRIGHTON, BN1","A BEAUTIFUL AND STYLISH first and second floor maisonette in a CONVERTED GRADE II LISTED building situated on a GARDEN SQUARE off WESTERN ROAD. The accommodation comprises LOUNGE, DINING ROOM, SEPARATE FITTED KITCHEN, TWO BEDROOMS, BATHROOM, PERIOD FEATURES, GCH, EPC D.","£1,750 pcm",Added on 21/10/2022
Studio flat,"Devonshire place, Brighton",STUDIO FLAT * FURNISHED * NEWLY DECORATED * AVAILABLE 27th OCTOBER 22 *,£850 pcm,Reduced on 21/10/2022
2 bedroom apartment,"Regent Street, Brighton","This 2 double bedroom, second floor apartment is situated in the heart of Brighton´s renowned North Laine district, close to all of the city centre´s main attractions. The North Laine is one of the main tourist hotspots and provides a superb location where everything is on your doorstep...","£1,800 pcm",Added on 21/10/2022
